"texto","paragrafo"
"paragrafo23","no dia 2 de abril de 2015 principiou um incendio em um dos terminais de armazenamento de combustiveis e fertilizantes liquidos no complexo da alemoa os tanques onde ocorreu o incendio sao ligados por dutos ao terminal portuario e pertenciam a empresa ultracargo as chamas duraram mais de uma semana e durante este periodo a agua utilizada no combate ao incendio contaminada com combustivel e outros produtos quimicos fluiu para o estuario causando alteracao da temperatura e saturacao do oxigenio o que causou a morte de milhares de peixes apesar de nao ter havido registro de vitimas foi um dos maiores e mais longos incendios a acometer o complexo portuario o combate a ocorrencia teve ajuda federal da fab e da infraero sendo inclusive utilizada uma espuma especial gelatinosa conhecida como cold fire que foi fornecida pela petrobras especifica para o combate a incendios em combustiveis"
"paragrafo26","o estuario do porto de santos e um braco d agua natural no qual foram instalados os terminais de carga sua margem direita compreende a area insular da cidade de santos e sua margem esquerda parte de cubatao a area continental de santos e a ilha de santo amaro que compoe o municipio do guaruja nao houve aterramentos ou expansoes fisicas da estrutura terrestre com a excecao dos atuais terminais acucareiros localizados na area de paqueta outeirinhos"
"paragrafo27","a profundidade natural do estuario de santos e de 6 metros para viabilizar o acesso de navios de maior calado e necessaria a realizacao constante de esforcos de dragagem em 2018 o calado permitido para a atracacao de embarcacoes e de 13m"
"paragrafo28","o complexo portuario de santos e composto pelo porto organizado de santos administrado pela spa e por cinco terminais de uso privado tup"
"paragrafo51","o porto organizado possui 66 bercos de atracacao distribuidos entre 15 km de cais e suas duas margens nos quais operam os diversos operadores portuarios de santos"
"paragrafo53","distante cerca de 70 quilometros da cidade de sao paulo o porto e servido por ligacoes ferroviarias rodoviarias e dutoviarias o sistema de acessos terrestres diretos ao porto e formado por tres modais rodoviario pelas rodovias do complexo anchieta imigrantes e pela rio santos ferroviario por duas malhas que sao operadas pelas empresas rumo logistica malha sul e mrs logistica malha norte e dutoviario estando integrado ao sistema de dutos da transpetro"
"paragrafo54","de acordo com suas atribuicoes de prover infraestrutura de acesso terrestre e aquaviaria a codesp mantem e investe nas infraestruturas relativas a estes acessos o complexo portuario possui 100 quilometros de malha ferroviaria interna dentro do porto organizado operada pela portofer transportes ferroviarios o modal ferroviario responde por cerca de 27 da movimentacao de cargas em particular cargas derivadas do agronegocio soja milho acucar celulose fertilizantes cafe etc das quais 53 se utilizam deste modal a autoridade portuaria tambem e responsavel pelo sistema conhecido como avenidas perimetrais que busca garantir a qualidade dos acessos rodoviarios evitar conflitos com o fluxo urbano e evitar entroncamentos rodoferroviarios da mesma forma realiza tambem os esforcos de dragagem de aprofundamento e manutencao de forma a permitir o acesso de navios com o calado operacional necessario"
"paragrafo56","em 2016 o porto de santos foi considerado o 39 maior porto do mundo por movimentacao de conteineres e 35 por tonelagem segundo ranking da aapa associacao americana de autoridades portuarias sendo o mais movimentado da america latina o porto tem recebido varios navios de conteineres com capacidade de ate de 11 mil teus"
"paragrafo57","o perfil de carga do porto de santos segundo dados de 2017 e de aproximadamente 47 granel solido soja acucar milho cafe fertilizantes etc 39 carga geral conteineres cargas de projeto veiculos e 14 granel liquido oleos vegetais petroquimicos gases etc o movimento acumulado de 2017 em tonelagem atingiu 129 865 022 toneladas sendo 36 307 745 t de importacoes e 93 557 277 t de exportacoes a movimentacao de conteineres acumulou 2 495 397 unidades representando 3 853 719 teu dos quais 1 259 163 unidades 1 947 082 teu foram importadas e 1 236 234 unidades 1 906 637 teu exportadas em toneladas a movimentacao geral de cargas conteinerizadas totalizou 44 534 271 t"
"paragrafo58","os distritos industriais da grande sao paulo e o complexo industrial de cubatao devem grande parte de sua existencia a proximidade ao porto de santos o municipio de cubatao tem acesso direto ao mar por meio do canal de piacaguera braco aquatico que conecta o canal de navegacao do porto aos terminais de uso privado tups la instalados como e o caso da siderurgica usiminas de minas gerais e do tiplam terminal da vli multimodal s a"
"paragrafo60","a autoridade portuaria tem a responsabilidade de prover infraestrutura de acesso terrestre e maritimo bem como outras garantias contratuais e cobra tarifas e taxas de seus arrendatarios pela utilizacao dessa estrutura os arrendamentos sao viabilizados por meio de licitacoes publicas e ao termino dos contratos os bens vinculados aos espacos arrendados revertem ao patrimonio da uniao em contrapartida cobra taxas e tarifas pelos servicos ou vantagens auferidos de sua atuacao"
"paragrafo62","o processo de comercio exterior brasileiro e complexo e sujeito a atuacao de diversos agentes denominados intervenientes dentre estes agentes sao exemplos a alfandega anvisa orgaos de controle ambiental e policia federal dentre outros"
"paragrafo75","google maps satellite vista da ilha de sao vicente e do estuario onde se encontra o porto de santos"
"paragrafo78","o porto de xangai e um porto de terminais maritimo de aguas profundas e fluviais esta localizado nas redondezas da cidade chinesa de xangai e o porto mais ativo do mundo em toneladas transportadas o porto pode ser caracterizado como maritimo ou fluvial devido ao fato de tanto o mar da china oriental e a baia de hangzhou quanto os rios yangtze e huangpu serem usados para o aportamento dos navios"
"paragrafo79","em 2016 o porto de xangai estabeleceu um recorde historico ao lidar com mais de 37 milhoes de teus"
"paragrafo81","o porto de xangai e banhado pelo mar da china oriental a leste e a baia de hangzhou ao sul inclui as confluencias do rio yangtze o rio huangpu que entra no rio yangtze e o rio qiantang"
"paragrafo83","o porto e administrado e operado pela shanghai international port group co ltd que substituiu a shanghai port authority em 2003 a sipg e uma empresa publica da china na qual o governo de xangai e detentor de 44 23 das acoes"
"paragrafo85","a historia do porto de xangai e paralela a da cidade de mesmo nome embora nao haja evidencia de assentamentos a partir de 5000 a c sera a partir da dinastia han e especialmente durante os seculos v e vii d c quando xangai vai se tornar uma pequena vila de pescadores e produtores de sal tendo a necessidade de uma extensao alem do mar no ano 1172 no entanto nao aconteceu ate o seculo xii quando a cidade se tornou um importante centro de algodao nestes estagios iniciais o porto de xangai estava localizado na foz do rio wusong e na do rio huangpu"
"paragrafo86","a dinastia ming 1368 1644 ofereceu um avanco para a cidade de xangai os imperadores dessa dinastia foram responsaveis pela dragagem do rio huangpu para melhorar a passagem existente e ir movendo a ao longo do rio huangpu para o local atual alem disso construiram de uma muralha ao redor da cidade para deter o ataque dos piratas japoneses wokou"
"paragrafo87","a dinastia qing 1644 1912 foi responsavel por elevar o porto de xangai como o mais importante na regiao do yangtze devido a dois fatores primeiro a permissao para aceitar embarcacoes oceanicas e ter controle exclusivo do comercio exterior da provincia de jiangsu em 1842 comeca a historia do porto como a conhecemos hoje ja que foi naquele ano quando o tratado de nanquim foi assinado o que encerrou a primeira guerra do opio 1839 1842 entre a china e o imperio britanico como resultado deste tratado alem de muitas outras coisas incluindo a famosa cessao da ilha de hong kong o governo chines foi forcado a abrir cinco portos internacionais incluindo o de xangai para o comercio internacional a entrada de potencias europeias e americanas franca os estados unidos e o imperio britanico incentivaram o desenvolvimento do porto tornando se no inicio do seculo xx o maior porto do extremo oriente"
"paragrafo88","a rebeliao de taiping 1850 1864 reconhecida como o maior confronto armado ate a segunda guerra mundial teve efeitos devastadores na cidade de xangai no entanto a area ocupada por estrangeiros onde o porto estava localizado mal foi tocada"
"paragrafo89","entre 1860 e 1895 toda a china passou por um processo de modernizacao e desenvolvimento no qual o porto de shanghai foi beneficiado mas foi paralisado pela guerra contra o japao e a subsequente queda da dinastia qing 1911 comecou um periodo de instabilidade economica e social"
"paragrafo90","apos a batalha de xangai 1937 o japao assume o controle da cidade e a partir deste momento a cidade perdera gradualmente seu poder economico e financeiro a invasao japonesa comecara a segunda guerra mundial na asia xangai permanecera sob dominio japones ate o final da guerra sendo durante este periodo um importante refugio dos cidadaos europeus o ponto culminante do conflito nao envolveu uma melhoria economica para xangai porque ele seguiu a tomada do poder pelo partido comunista 1949 que reduziu drasticamente todo o comercio exterior e fuga de capitais produzidos para hong kong"
"paragrafo92","em 1991 o governo central permitiu que xangai iniciasse uma reforma economica desde entao o porto de xangai se desenvolveu em ritmo acelerado em 2005 o porto terminal de aguas profundas de yangshan foi construido nas ilhas yangshan um grupo de ilhas na baia de hangzhou ligadas a xangai pela ponte de donghai este desenvolvimento permitiu que o porto superasse as condicoes de aguas rasas em sua localizacao atual e rivalizasse com outro porto de aguas profundas o vizinho porto de ningbo zhoushan"
"paragrafo94","o porto de xangai e administrado pela shanghai international port group sipg uma empresa publica na qual 45 das acoes pertencem ao governo municipal de xangai quanto ao trafego de conteineres ele e composto de tres outros portos"
"paragrafo98","o porto de xangai tambem possui um numero significativo de areas nao destinadas a conteineres no entanto como elas desempenham um papel regional e sao os conteineres que fizeram de xangai como um dos maiores portos em escala global parece correto focar nessa parte apesar disso existe uma importancia relevantes destas outras areas tambem gerenciadas pela sipg sao localizadas em terminais dentro dos portos de wusongkuo waigaoqiao e luojing sao usadas como uma distribuicao para o interior do pais sendo um pilar do desenvolvimento economico da regiao do yangtze entre seus terminais destacam se"
"paragrafo99","sipg carvao responsavel pelo transporte de 30 milhoes de toneladas de carvao areia e brita anualmente"
"paragrafo100","sipg zhanghuabang company usada para transportar aco ferro produtos pesados e ate conteineres e um dos terminais mais bem equipados do porto"
"paragrafo101","sipg jungong road branch aco ferro e veiculos sao suas principais mercadorias"
"paragrafo102","sipg baoshan terminal branch transporta e armazena tanto cargas a granel quanto conteineres"
"paragrafo103","sipg longwu branch empresa subsidiaria sipg luojing especializada em cargas a granel"
"paragrafo104","terminais da xangai luojing ore co ltd so transporta aco"
"paragrafo106","wusongkou o porto mais antigo de xangai esta localizado na foz do rio huangpu na do rio yangtze o porto e responsavel pelo comercio local ao longo do rio yangtze e e o principal porto de passageiros da cidade o porto tem um comprimento de 2 3 km no qual ha 10 bercos 11 metros de calado e uma area de 550 mil metros quadrados para armazenar conteineres atualmente a cidade de xangai com o objetivo de alcancar uma melhoria ambiental e aumentar o turismo esta aplicando uma politica de recuperacao dos espacos do rio que traz entre muitas outras coisas um iate clube isso esta causando uma diminuicao na atividade de servicos no porto o que significa que parte da logistica do porto se move para o vizinho waigaoqiao"
"paragrafo108","o porto de waigaoqiao esta localizado no sul da foz do rio yangtze ao norte do chamado pudong a localizacao do porto nesta area e perfeita uma vez que e a primeira zona de livre comercio na china e tambem esta perto do aeroporto internacional de pudong para evitar problemas de sedimentacao de areas bem como facilitar a construcao e manutencao dos pieres optou se pela construcao dos terminais 1 2 e 3 paralelos a foz a uma distancia de 250 metros da costa"
"paragrafo109","o porto e dividido em um total de 5 terminais"
"paragrafo110","terminal 1 porto de xangai terminais pudong international ltd contentores tem um comprimento de 900 metros com 3 cais uma profundidade de 12 8 metros e um total de 10 gruas de contentores e 36 rtg sua superficie de 500 mil metros quadrados permite a manutencao de 30 mil teus de cada vez e uma capacidade anual de 1 8 milhao de teus"
"paragrafo111","terminal 2 e 3 sipg zhendong container terminal branch e uma continuacao do terminal 1 concluido em 1997 acrescenta 1 6 km de porto com 5 embarcacoes 10 guindastes pos panamax e uma area de 1 7 milhao de metros quadrados mantendo o calado anterior"
"paragrafo112","terminal 4 porto de xangai east container terminals company ltd os terminais 4 e 5 estao localizados a 7 km dos outros tres seguindo o leito do rio o terminal 4 construido em 2002 tem um calado de 14 2 metros um comprimento de 1 25 km incluindo 4 pilares principais gracas aos seus 1 55 milhao de metros quadrados seus 12 guindastes de portico para conteineres e 48 rtgs manejaram 1 milhao de teus no primeiro ano embora atualmente esse montante seja de 3 63 milhoes"
"paragrafo113","terminal 5 porto de xangai mingdong container terminals ltd concluido em 2005 e uma joint venture entre a sipg e a hutchison port holdings limited hph garante 14 2 metros de calado e esta equipado com 12 gruas para contentores ao longo dos seus 1100 metros e capaz de armazenar 120 000 conteineres a construcao do porto de aguas profundas de yangshan marcou a saida de empresas americanas europeias e australianas mas apesar disso o trafego de conteineres nao diminuiu de fato aumentou isso se deve ao fato de que o porto de waigaoqiao promove o comercio entre os paises asiaticos desde 2005 o que significou um crescimento de 19 entre 2005 e 2010 alcancando 15 7 milhoes de teus em 2010"
"paragrafo115","o porto e fruto da ambicao o desejo de crescimento e problemas de calado em outros portos que impediam a entrada de navios"
"paragrafo116","a localizacao do porto foi escolhida nas ilhas yangshan localizadas na baia de hangzhou a cerca de 32 km do continente que tem calado entre 15 e 20 metros para economizar essa distancia a sipg decidiu construir uma ponte a ponte donghai concluida em dezembro de 2005 e a setima ponte mais longa do mundo e embora seja um viaduto de baixo nivel a maior parte de sua jornada ha uma area em que a ponte e estaiada com o objetivo de permitir o trafego de grandes barcos a ponte liga o porto de yangshan com o parque logistico de lingang embora no principio se decidisse nivelar o relevo das ilhas finalmente decidiu se colocar o porto em terras reclamadas do mar"
"paragrafo117","o porto de yangshan foi sendo construido em quatro fases a primeira delas concluida em 2004 e inaugurada no final de 2005 alcancou o desejado projeto de 15 a 16 metros permitindo a ancoragem dos maiores navios do planeta equipado com 10 guindastes de portico para conteineres e uma area portuaria de 1 600 000 metros quadrados alcancou um trafego de 2 2 milhoes de teu em seu primeiro ano tem um comprimento de 1600 metros o que lhe permite atracar entre 5 navios de conteiner de cada vez"
"paragrafo118","com a segunda e terceira fases construidas em 2006 e 2010 respectivamente o porto foi significativamente aumentado o primeiro deles acrescenta 4 molhes e seus 2 44 milhoes de metros quadrados permitem a movimentacao anual de 4 5 milhoes de teu as duas primeiras fases chamadas conjuntamente de terminais internacionais de conteineres shengdong de xangai tem um comprimento total de 3 000 metros 34 guindastes de portico para conteineres e 120 rtg"
"paragrafo119","a terceira fase e a mais importante ate agora alem de prolongar o porto em 2 6 km adicionando 7 molhes e uma area de milhoes de metros quadrados tambem aumentou o calado maximo para 17 5 metros o que implica uma adicao anual de 5 milhoes de teu juntamente com a quarta fase forma a xangai guandong internacional recipiente terminal co ltd finalizada em 2015 a quarta e ultima fase aumentou a capacidade de 4 milhoes de teu e todas as fases em conjunto tem um total de 50 molhes capaz de comportar 25 milhoes de conteineres por ano em 2014 foi movimentado 14 15 milhoes de teus 52 a mais do que o esperado com as tres primeiras fases do projeto"
"paragrafo120","em 2016 o porto de xangai estabeleceu um recorde historico ao lidar com mais de 37 milhoes de teus sendo o porto mais movimentado em teus do mundo ultrapassando o porto de singapura"
"paragrafo122","o porto de xangai e um importante centro de transportes para a regiao do rio yangtze e a porta de entrada mais importante para o comercio exterior chines ele serve as provincias internas desenvolvidas do yangtze anhui jiangsu zhejiang e henan com uma populacao densa uma base industrial forte e um setor agricola desenvolvido"
"paragrafo124","o trabalho conjunto dos tres portos permitiu que xangai tomasse a primeira posicao em termos de transporte do teus essa primeira posicao foi alcancada em 2010 destronando singapura com 29 05 milhoes de teu desde entao ele nao parou de crescer alcancando em 2011 a cifra de 30 milhoes de teu 31 74 milhoes e em 2012 bateu novamente seu proprio recorde com 32 53 milhoes de conteineres"
"paragrafo130","2008 582 mtm de carga e 28 milhoes de teus"
"paragrafo132","de acordo com estatisticas da sipg em 2010 recipiente de manipulacao do porto de xangai foi de 29 05 milhoes de contentores normais ficando em primeiro lugar no mundo ultrapassando o porto de singapura o porto de xangai ainda permanece o primeiro porto do mundo no manuseio de carga a granel"
"paragrafo134","em comparacao entre os portos de xangai o porto de singapura e o de hong kong os tres portos mais importantes do mundo em 2011 os tres juntos representavam 22 1 do trafego maritimo dos 50 portos mais importantes do mundo com 86 061 milhoes de teus esse numero em 2012 registrou um ligeiro aumento de 1 4 em relacao ao ano anterior atingindo 87 303 de teu em 2010 o porto de xangai alcancou a primeira posicao pois o porto com o maior trafego de conteineres alcancou os famosos 29 05 milhoes de teu curiosamente nota se que o numero de contentores do mes de janeiro de 2012 equivale a todos do ano inteiro de 1998 esse crescimento e devido tanto a abertura comercial da china quanto a sua localizacao estrategica"
"paragrafo135","entre os 10 principais portos do mundo existem 7 localizados na china alem de xangai e hong kong shenzhen ningbo zhoushan guangzhou qingdao e o tianjin os portos chineses em 2012 aumentaram o trafego de conteineres em 8 1 movimentando pouco mais de 30 do total mundial cerca de 176 milhoes de teu dos quais xangai representa 18 4"
"paragrafo139","o porto de roterdao portugues europeu ou roterda portugues brasileiro e o maior porto maritimo da europa esta localizado na cidade de roterda na holanda do sul nos paises baixos de 1962 ate 2002 foi o porto mais ativo do mundo atualmente foi ultrapassado por portos asiaticos como os de singapura e de xangai em 2006 roterda foi o setimo maior do mundo em termos de contentores manipulados no porto em unidades equivalentes a 20 pes teu"
"paragrafo140","abrangendo 105 quilometros quadrados o porto de roterda agora estende se por uma distancia de quarenta quilometros 25 milhas consiste na area do centro historico da cidade incluindo delfshaven o maashaven rijnhaven e feijenoord os portos em torno de nieuw mathenesse waalhaven vondelingenplaat eemhaven botlek europoort situados ao longo da calandkanaal nieuwe waterweg e scheur este ultimo sendo os dois continuados de nieuwe maas e valorizado a area de maasvlakte"
"paragrafo142","na primeira metade do seculo xx as atividades portuarias deslocaram se do centro oeste para o mar do norte o nieuwe waterweg foi cavado de roterdao para o mar do norte sendo um canal para o desaguar dos rios reno e mosa o nieuwe waterweg estava pronto em 1872 e todo o tipo de actividade industrial estava formado nas margens deste canal"
"paragrafo143","o territorio do antigo porto foi ampliado pela construcao do europoort portao para a europa complexo ao longo da foz do nieuwe waterweg e pela maasvlakte no mar do norte perto de hoek van holland a construcao de uma segunda maasvlakte recebeu inicialmente aprovacao politica em 2004 mas foi interrompido pelo raad van state o conselho de estado holandes que aconselha o governo e o parlamento sobre a legislacao e governacao em 2005 porque os planos nao tiveram suficientemente em conta as questoes ambientais em 10 de outubro de 2006 no entanto a aprovacao foi adquirida para se iniciar a construcao em 2008 destinado para o primeiro navio a ancorar em 2013"
"paragrafo144","o mais importante para o porto de roterdao sao as industrias petroquimica e de carga geral o porto funciona como um importante ponto de transito para o transporte de graneis e de outras mercadorias entre o continente europeu e de outras partes do mundo a partir de roterdao as mercadorias sao transportadas por navio barcaca fluvial ferroviaria ou rodoviaria desde 2000 a betuweroute um rapido ferroviario de carga que faz a ligacao entre roterda a alemanha esta em construcao a parte ferroviaria neerlandesa foi inaugurada em 2007 as grandes refinarias de petroleo estao localizadas a oeste da cidade os rios reno e mosa tambem proporcionam excelentes condicoes de acesso ao interior"
"paragrafo145","o eecv cais do porto tem uma profundidade de 24 metros tornando se juntamente com o terminal de ponta da madeira no estado do maranhao no brasil um dos dois unicos locais disponiveis para a amarracao do maior navio graneleiro de minerio de ferro do mundo o berge stahl carece de fontes o calado do navio e de 23 metros e deixa apenas um metro de folga entre a quilha do navio e o fundo do canal a profundidade de 24 metros so ocorre em uma janela de tempo restrita da mare cheia deixando pouco tempo para manobrar e atracar o navio"
